ts_code,trade_date,buy_elg_amount,circ_mv,fac_1
002004.SZ,20240102,162.76,879018.4574,0.00018516107213654965
002098.SZ,20240102,240.83,246304.0,0.0009777754319864882
002194.SZ,20240102,0.0,496460.173,0.0
002210.SZ,20240102,0.0,484342.6177,0.0
002272.SZ,20240102,117.64,232031.8516,0.0005069993588759519
002300.SZ,20240102,460.74,605265.6807,0.0007612194358469927
002385.SZ,20240102,1445.21,1954905.5489,0.0007392735678781008
002444.SZ,20240102,1634.4,2604085.8521,0.0006276290770836066
002595.SZ,20240102,31.11,1583618.6577,1.9644880949548312e-05
002698.SZ,20240102,1390.7,1259625.5513,0.001104058264430032
002747.SZ,20240102,319.61,1433481.4171,0.00022296068591289172
002937.SZ,20240102,14.11,766798.9819,1.840117205820719e-05
002979.SZ,20240102,411.28,455075.0346,0.0009037630472555041
003001.SZ,20240102,0.0,91837.7604,0.0
003012.SZ,20240102,0.0,963676.916,0.0
300063.SZ,20240102,1577.72,420824.3114,0.0037491179983191437
300148.SZ,20240102,1122.15,298013.4991,0.003765433456500763
300154.SZ,20240102,0.0,240529.6229,0.0
300223.SZ,20240102,1574.0,2633298.695,0.0005977293813985656
300296.SZ,20240102,1188.61,1253200.019,0.0009484599281673006
300425.SZ,20240102,0.0,324732.9837,0.0
300534.SZ,20240102,202.56,298490.564,0.0006786144167693019
300690.SZ,20240102,0.0,204933.9601,0.0
300757.SZ,20240102,238.95,810368.0,0.000294866036171221
300814.SZ,20240102,154.84,167779.188,0.0009228796601399693
301267.SZ,20240102,465.84,1029890.862,0.00045231977211193083
301277.SZ,20240102,0.0,104383.44,0.0
301315.SZ,20240102,0.0,114070.0,0.0
301383.SZ,20240102,3890.35,189761.8,0.020501228382108518
600561.SH,20240102,0.0,186047.8272,0.0
600592.SH,20240102,8178.79,505834.8209,0.016168894789504597
600601.SH,20240102,37.38,1205214.7599,3.101521923204917e-05
600629.SH,20240102,456.76,488388.6792,0.0009352387134529632
600817.SH,20240102,0.0,507462.0592,0.0
600959.SH,20240102,662.27,1555223.2003,0.000425835982817289
601188.SH,20240102,438.74,534246.6998,0.0008212310907381295
601336.SH,20240102,817.39,6506570.7408,0.0001256253151717059
603338.SH,20240102,0.0,2604147.1417,0.0
603368.SH,20240102,189.4,698132.273,0.0002712952936355658
603636.SH,20240102,1.26,744399.9083,1.6926385749797923e-06
603668.SH,20240102,1325.77,816880.81,0.0016229662684816893
603733.SH,20240102,0.0,1137326.6127,0.0
603927.SH,20240102,0.0,1758243.2,0.0
603988.SH,20240102,0.0,270009.6,0.0
688128.SH,20240102,187.14,827202.5,0.0002262323917057794
688296.SH,20240102,0.0,105305.8417,0.0
688737.SH,20240102,0.0,231938.9885,0.0
002004.SZ,20240103,0.0,888429.7899,0.0
002098.SZ,20240103,0.0,244872.0,0.0
002194.SZ,20240103,140.17,494425.5001,0.0002835007498028518
002210.SZ,20240103,0.0,476358.9481,0.0
002272.SZ,20240103,319.2,233708.3824,0.0013658046695718346
002300.SZ,20240103,788.33,625489.355,0.001260341193176661
002385.SZ,20240103,1598.02,1928443.2065,0.0008286580567235388
002444.SZ,20240103,885.28,2538465.6515,0.0003487461015975854
002595.SZ,20240103,0.0,1583085.2732,0.0
002698.SZ,20240103,0.0,1247004.5285,0.0
002747.SZ,20240103,0.0,1403584.4392,0.0
002937.SZ,20240103,737.76,736289.7385,0.0010019968518140635
002979.SZ,20240103,580.06,443042.8335,0.0013092639269606872
003001.SZ,20240103,0.0,91344.009,0.0
003012.SZ,20240103,0.0,967176.9532,0.0
300063.SZ,20240103,924.23,412755.4086,0.0022391711428684596
300148.SZ,20240103,969.9,301965.9328,0.0032119517291455202
300154.SZ,20240103,0.0,238293.6237,0.0
300223.SZ,20240103,444.62,2586312.6296,0.0001719127049496584
300296.SZ,20240103,223.22,1225935.137,0.00018208141137568193
300425.SZ,20240103,146.1,326749.9587,0.0004471308904866282
300534.SZ,20240103,5107.96,329182.1341,0.015517124020006162
300690.SZ,20240103,130.85,202522.9723,0.0006460995437405003
300757.SZ,20240103,1768.67,754312.0,0.0023447459406717645
300814.SZ,20240103,111.81,165239.388,0.0006766546484667444
301267.SZ,20240103,152.36,1010161.152,0.00015082741966303612
301277.SZ,20240103,0.0,104283.36,0.0
301315.SZ,20240103,120.62,113894.0,0.0010590549107064465
301383.SZ,20240103,1336.08,172761.7,0.007733658559738645
600561.SH,20240103,0.0,187470.2112,0.0
600592.SH,20240103,4110.36,511828.1245,0.008030742749854497
600601.SH,20240103,268.62,1196874.1734,0.00022443461975365573
600629.SH,20240103,16.89,490277.9971,3.444984294605213e-05
600817.SH,20240103,0.0,503769.5078,0.0
600959.SH,20240103,1095.38,1570225.3534,0.000697594136808567
601188.SH,20240103,308.39,521087.9141,0.0005918195215343606
601336.SH,20240103,1435.07,6573304.7997,0.00021831788479753674
603338.SH,20240103,1324.48,2563639.3114,0.000516640540699426
603368.SH,20240103,59.1,710019.9742,8.323709493749056e-05
603636.SH,20240103,597.34,737901.1789,0.000809512190901312
603668.SH,20240103,113.52,795074.0612,0.00014277915170401236
603733.SH,20240103,0.95,1127442.9549,8.426146936048408e-07
603927.SH,20240103,65.58,1725595.2,3.800427817601718e-05
603988.SH,20240103,0.92,271185.6,3.3925105167826023e-06
688128.SH,20240103,0.0,816685.5,0.0
688296.SH,20240103,0.0,102964.3777,0.0
688737.SH,20240103,273.36,229021.9645,0.0011935973066897695
002004.SZ,20240104,0.0,886547.5234,0.0
002098.SZ,20240104,0.0,248810.0,0.0
002194.SZ,20240104,299.05,491882.1591,0.0006079708207900319
002210.SZ,20240104,0.0,471036.5018,0.0
002272.SZ,20240104,546.9,229349.4025,0.002384571287470435
002300.SZ,20240104,2526.23,613932.9697,0.004114830322982082
002385.SZ,20240104,1324.42,1918519.8281,0.0006903342778123044
002444.SZ,20240104,1519.39,2544221.8095,0.0005971924280841678
002595.SZ,20240104,0.0,1564416.8148,0.0
002698.SZ,20240104,21.68,1255418.8641,1.7269136716009302e-05
002747.SZ,20240104,877.79,1368180.1231,0.0006415748812452544
002937.SZ,20240104,238.97,725829.4266,0.00032923713374284955
002979.SZ,20240104,868.97,436811.8722,0.001989346112832141
003001.SZ,20240104,0.0,91739.0101,0.0
003012.SZ,20240104,0.0,976510.3858,0.0
300063.SZ,20240104,2083.2,386050.2856,0.005396188210979528
300148.SZ,20240104,0.0,298013.4991,0.0
300154.SZ,20240104,0.0,238613.0522,0.0
300223.SZ,20240104,519.23,2510220.1519,0.000206846399351464
300296.SZ,20240104,476.35,1205014.7422,0.0003953063670659547
300425.SZ,20240104,0.0,327422.2838,0.0
300534.SZ,20240104,2218.01,317146.2243,0.006993650972498745
300690.SZ,20240104,0.0,197810.5872,0.0
300757.SZ,20240104,445.4,740792.0,0.0006012483936111621
300814.SZ,20240104,0.0,161937.648,0.0
301267.SZ,20240104,173.24,1003584.582,0.00017262122506381828
301277.SZ,20240104,318.15,104483.52,0.0030449778108547643
301315.SZ,20240104,0.0,113344.0,0.0
301383.SZ,20240104,1417.75,174360.0,0.008131165404909383
600561.SH,20240104,0.0,187470.2112,0.0
600592.SH,20240104,2265.41,495446.428,0.004572462070510678
600601.SH,20240104,395.84,1188533.5868,0.00033304906516420544
600629.SH,20240104,660.99,489333.3382,0.0013507969892904387
600817.SH,20240104,0.0,500076.9564,0.0
600959.SH,20240104,768.36,1575226.0711,0.00048777760481290446
601188.SH,20240104,9192.68,573723.057,0.01602285264264706
601336.SH,20240104,1686.0,6454434.7573,0.0002612157475281821
603338.SH,20240104,0.0,2569209.138,0.0
603368.SH,20240104,0.0,707498.3406,0.0
603636.SH,20240104,371.8,732584.0367,0.0005075185662996579
603668.SH,20240104,0.0,794637.9263,0.0
603733.SH,20240104,0.0,1119677.2239,0.0
603927.SH,20240104,245.71,1699476.8,0.0001445797906744005
603988.SH,20240104,238.67,270244.8,0.0008831622292084806
688128.SH,20240104,0.0,803337.0,0.0
688296.SH,20240104,0.0,103204.5278,0.0
688737.SH,20240104,0.0,233931.1026,0.0
002004.SZ,20240105,141.0,882782.9904,0.00015972215316032668
002098.SZ,20240105,0.0,244156.0,0.0
002194.SZ,20240105,0.0,478148.1174,0.0
002210.SZ,20240105,0.0,465714.0555,0.0
002272.SZ,20240105,284.75,220296.1366,0.0012925782739305653
002300.SZ,20240105,1636.37,597320.6658,0.0027395168017640683
002385.SZ,20240105,1072.98,1882134.1072,0.0005700869007661964
002444.SZ,20240105,312.17,2479752.8406,0.00012588754608482169
002595.SZ,20240105,116.06,1549482.048,7.490244895047664e-05
002698.SZ,20240105,1296.76,1218395.7876,0.001064317533922505
002747.SZ,20240105,103.72,1336709.62,7.759351653353104e-05
002937.SZ,20240105,129.74,715369.1146,0.0001813609189328007
