date,portfolio_value,daily_returns
20240205,1000000.0,
20240206,1000000.0,0.0
20240207,1000000.0,0.0
20240208,1000000.0,0.0
20240219,1000000.0,0.0
20240220,1000000.0,0.0
20240221,1000000.0,0.0
20240222,1000000.0,0.0
20240223,1000000.0000000001,2.220446049250313e-16
20240226,1000595.9834123225,0.0005959834123223651
20240227,1000595.9834123225,0.0
20240228,1000595.9834123225,0.0
20240229,1008948.2796894192,0.008347321411997788
20240301,1010481.4006469153,0.0015195238332414984
20240304,1010699.1597126805,0.00021550032056572022
20240305,1010699.1597126803,-2.220446049250313e-16
20240308,1014567.3422921079,0.003827234387458356
20240311,1015535.2162316268,0.0009539770295901029
20240312,1015572.4274759153,3.6642002851028366e-05
20240313,1015572.4274759149,-3.3306690738754696e-16
20240315,1027049.1443423033,0.011300736959659607
20240318,1027049.1443423033,0.0
20240329,1090854.4974539645,0.06212492699414174
20240401,1090854.4974539648,2.220446049250313e-16
20240412,1091471.8071626285,0.0005658955526191001
20240415,1091471.807162629,4.440892098500626e-16
20240416,1087125.0560876473,-0.003982467569438541
20240418,1087125.0560876473,0.0
20240425,1008887.0901000716,-0.07196776999063847
20240426,1001704.4791740045,-0.007119340703779509
20240429,1009570.8600694885,0.007852995627982473
20240430,1009570.8600694885,0.0
20240506,1007968.7398822387,-0.0015869318842459679
20240507,1007968.7398822386,-1.1102230246251565e-16
20240508,1013194.3262772036,0.00518427426189394
20240509,1013194.3262772032,-4.440892098500626e-16
